Accounting
Advertising
Advertising | Persuasive Messaging UF Online
Aerospace Engineering
African American Studies
African Languages
Agricultural Education and Communication
Agricultural Operations Management
Animal Sciences
Anthropology
Anthropology UF Online
Applied Physiology and Kinesiology
Arabic
Architecture
Art History
Art | BA
Art | BFA
Astronomy and Astrophysics
Biological Engineering
Biology UF Online
Biology | CALS
Biology | CLAS
Biomedical Engineering
Botany | CALS
Botany | CLAS
Business Administration | General Business | BSBA UF Online
Business Administration | General Studies | BABA
Business Administration | General Studies | BABA UF Online
Chemical Engineering
Chemistry | Biochemistry
Chinese
Civil Engineering
Classical Studies
Communication Sciences and Disorders
Communication Sciences and Disorders UF Online
Computer Engineering
Computer Science UF Online
Computer Science | CLAS
Computer Science | Herbert Wertheim College of Engineering
Construction Management
Criminology
Criminology UF Online
Dance | Bachelor of Arts
Dance | Bachelor of Fine Arts
Data Science
Dietetics
Digital Arts and Sciences UF Online
Digital Arts and Sciences | Bachelor of Arts
Digital Arts and Sciences | Bachelor of Science
Dual Languages
Economics
Education Sciences
Education Sciences UF Online
Education | Early Childhood Education | Age 3 - Grade 3
Electrical Engineering
Elementary Education | Grades K-6
Engineering | Exploring Engineering Studies
English
Entomology and Nematology
Environmental Engineering
Environmental Management in Agriculture and Natural Resources | Interdisciplinary Studies
Environmental Science
Family, Youth and Community Sciences
Finance
Fire and Emergency Services UF Online
Food and Resource Economics
Food Science
Foreign Languages and Literatures
Forest Resources and Conservation
French and Francophone Studies
Geography
Geography UF Online
Geography | Bachelor of Arts
Geology
Geology UF Online
Geomatics
German
Graphic Design
Health Education and Behavior
Health Education and Behavior | Community Health Promotion UF Online
Health Science
Hebrew
Hispanic and Latin American Languages, Literatures and Linguistics
History
Horticultural Science
Industrial and Systems Engineering
Information Systems
Interdisciplinary Studies | CLAS
Interdisciplinary Studies | Environmental Management in Agriculture and Natural Resources UF Online
Interior Design
International Studies
Italian
Japanese
Jewish Studies
Journalism
Journalism | Sports and Media UF Online
Landscape Architecture | 4-Year Professional Program
Linguistics
Management
Marine Sciences | CALS
Marine Sciences | CLAS
Marketing
Materials Science and Engineering
Mathematics
Mechanical Engineering
Media Production, Management, and Technology
Media Production, Management, and Technology | Media and Society UF Online
Microbiology and Cell Science UF Online
Microbiology and Cell Science | CALS
Microbiology and Cell Science | CLAS
Music Education
Music | Bachelor of Arts
Music | Bachelor of Music
Natural Resource Conservation
Nuclear Engineering
Nursing
Nursing | RN to BSN UF Online
Nutritional Sciences
Pharmacy | Preprofessional
Philosophy
Physics
Plant Science
Political Science
Portuguese
Psychology
Psychology UF Online
Public Health
Public Relations
Public Relations UF Online
Religion
Russian
Sociology
Sociology UF Online
Soil, Water, and Ecosystem Sciences
Spanish
Spanish and Portuguese
Sport Management
Sport Management UF Online
Statistics
Sustainability and the Built Environment
Sustainability Studies
Theatre
Theatre Performance
Theatre Production
Tourism, Hospitality and Event Management
Tourism, Hospitality and Event Management UF Online
Wildlife Ecology and Conservation
Women's Studies
Zoology
