Accounting Minor
Actuarial Science Minor
Aerospace Leadership Minor
African American Studies Minor
African Studies Minor
Agricultural and Natural Resource Communication Minor
Agricultural and Natural Resource Ethics and Policy Minor
Agricultural and Natural Resource Law Minor
Agricultural Curriculum and Development Minor
American Indian and Indigenous Studies Minor
Anthropology Minor
Anthropology Minor UF Online
Arabic Language and Literature Minor
Art History Minor
Art History Minor | New World School of the Arts
Art Minor
Asian American Studies Minor
Asian Studies Minor
Astronomy Minor
Bioinformatics Minor
Bioinformatics Minor UF Online
Biomechanics Minor
Biomolecular Engineering Minor
Botany Minor
Business Administration Minor
Business Administration Minor UF Online
Chemistry Minor
Classical Studies Minor
Communication Sciences and Disorders Minor
Communication Studies Minor
Computer and Information Science and Engineering Minor
Computer and Information Science and Engineering Minor UF Online
Dance Minor
Deaf and Hearing Sciences Minor 
Digital Arts and Sciences Minor
Digital Arts and Sciences Minor UF Online
Disabilities in Society Minor
Disability Science Minor
Early Childhood Studies Minor 
East Asian Languages and Literatures Minor
East-Central European Studies Minor
Economics Minor
Education Studies Minor
Educational Technology Minor
Educational Technology Minor UF Online
Electrical Engineering Minor
Engineering Innovation Minor
English Minor
Entomology and Nematology Minor
Entomology and Nematology Minor UF Online
Entrepreneurship Minor
Environmental Horticulture Minor
Environmental Justice and Policy Minor
Environmental Science Minor
European Union Studies Minor
Event Management Minor
Event Management Minor UF Online
Extension Education Minor
Family, Youth and Community Sciences Minor
Fisheries and Aquatic Sciences Minor
Florida Teaching Minor
Food and Resource Economics Minor
Food Science Minor
Forest Resources and Conservation Minor
French and Francophone Studies Minor
Geography Minor
Geography Minor UF Online
Geology Minor
German Minor
German Minor UF Online
Golf and Sports Turf Management Minor
Graphic Design Minor
Greek Studies Minor
Health Disparities in Society Minor
Health Promotion Minor
Health Promotion Minor UF Online
Health Science Minor
Hebrew Minor
History Minor
Horticultural Science Minor
Information Systems Minor
Innovation Minor
International Development and Humanitarian Assistance Minor
International Studies in Agricultural and Life Sciences Minor
Italian Studies Minor
Jazz Studies Minor
Jewish Studies Minor
Landscape Architecture Minor
Latin American Studies Minor
Leadership Minor
Leadership Minor UF Online
Linguistics Minor
Management and Sales in Agribusiness Minor
Management and Sales in Agribusiness Minor UF Online
Mass Communication Studies Minor
Mass Communication Studies Minor UF Online
Materials Science and Engineering Minor
Mathematics Minor
Medical Geography in Global Health Minor
Medieval and Early Modern Studies Minor
Military Science and Leadership Minor
Music History | Ethnomusicology Minor
Music Performance Minor
Music Theory Minor
Nonprofit Organizational Leadership Minor
Nuclear and Radiological Engineering Minor
Nutritional Sciences Minor
Organic and Sustainable Crop Production Minor
Packaging Science Minor
Pathogenesis Minor
Pathogenesis Minor UF Online
Philosophy Minor
Physics Minor
Plant Molecular and Cellular Biology Minor
Plant Science Minor
Portuguese Minor
Precision Agriculture Minor
Professional Selling Minor
Public Health Minor
Public Leadership Minor
Public Relations Minor
Public Relations Minor UF Online
Real Estate Minor
Religion Minor
Retailing Minor
Russian Minor
Sales Engineering Minor
Sociology Minor
Sociology Minor UF Online
Sociology of Social Justice and Policy Minor
Soil, Water, and Ecosystem Sciences Minor
Spanish Minor
Statistics Minor
Sustainability and the Built Environment Minor
Sustainability Studies Minor
Teaching English as a Second Language Minor
Theatre Minor
Theatre Production Minor
Theories and Politics of Sexuality Minor
UFTeach | Mathematics or Science Minor
Urban and Regional Planning Minor
Wealth Management Minor
Wildlife Ecology and Conservation Minor
Women's Studies Minor
Zoology Minor
